node1	node2
AKT1	DVL2
AKT1	FGF4
AKT1	FGF20
AKT1	FGF22
AKT1	MAPK1
AKT1	SOS2
AKT1	CSNK2A1
AKT1	PIK3R2
AKT1	WNT3
AKT1	RPS6KB1
AKT1	CCND1
AKT1	FGF6
AKT1	SKP1
AKT1	DLL4
AKT1	KRAS
AKT1	NOTCH2
AKT1	APC
AKT1	CDK4
AKT1	LRP6
AKT1	CSNK1A1
AKT1	AXIN1
AKT1	CSNK2A2
AKT1	PIK3R3
AKT1	E2F3
AKT1	MAP2K2
AKT1	MAPK3
AKT1	NOTCH3
AKT1	PIK3CA
AKT1	FGF2
AKT1	WNT5A
AKT1	FGF10
AKT1	LEF1
AKT1	EGF
AKT1	WNT2
AKT1	CDK6
AKT1	RB1
AKT1	FGF7
AKT1	TP53
AKT1	ERBB2
AKT1	FGF18
AKT1	EGFR
AKT1	ATM
AKT1	WNT3A
AKT1	WNT7A
AKT1	FZD7
AKT1	KIT
AKT1	WNT4
AKT1	ARAF
AKT1	BAX
AKT1	WNT1
AKT1	LRP5
AKT1	FGF19
AKT1	MAP2K1
AKT1	AXIN2
AKT1	FOS
AKT1	RPS6KB2
AKT1	FGF5
AKT1	DVL3
AKT1	FGF8
AKT1	GSK3B
AKT1	PGR
AKT1	WNT11
AKT1	JAG2
AKT1	SP1
AKT1	FGF3
AKT1	HEY1
AKT1	ATR
AKT1	ESR2
AKT1	E2F1
AKT1	FGF17
AKT1	MTOR
AKT1	E2F2
AKT1	DLL1
AKT1	PARP1
AKT1	HEY2
AKT1	NRAS
AKT1	NFKB2
AKT1	GADD45A
AKT1	JUN
AKT1	PTEN
AKT1	NCOA3
AKT1	BAK1
AKT1	NOTCH4
AKT1	PIK3CD
AKT1	DVL1
AKT1	BRCA2
AKT1	FGF9
AKT1	AKT2
AKT1	GRB2
AKT1	IGF1
AKT1	TNFSF11
AKT1	SOS1
AKT1	CDKN1A
AKT1	FGFR1
AKT1	FGF16
AKT1	SHC1
AKT1	RAF1
AKT1	ESR1
AKT1	HRAS
AKT1	BRCA1
AKT1	BRAF
AKT1	PIK3R1
AKT1	TCF7L2
AKT1	RAD51
AKT1	FGF21
AKT1	FGF1
AKT1	IGF1R
AKT1	NOTCH1
AKT1	MYC
AKT1	AKT3
AKT1	CTNNB1
AKT2	MAPK1
AKT2	CSNK2A1
AKT2	PIK3R2
AKT2	RPS6KB1
AKT2	CCND1
AKT2	KRAS
AKT2	CSNK2A2
AKT2	PIK3R3
AKT2	MAPK3
AKT2	PIK3CA
AKT2	EGF
AKT2	TP53
AKT2	EGFR
AKT2	ATM
AKT2	KIT
AKT2	RPS6KB2
AKT2	GSK3B
AKT2	PGR
AKT2	ESR2
AKT2	MTOR
AKT2	PARP1
AKT2	NRAS
AKT2	JUN
AKT2	PTEN
AKT2	PIK3CD
AKT2	IGF1R
AKT2	GRB2
AKT2	NOTCH1
AKT2	SHC1
AKT2	HRAS
AKT2	ESR1
AKT2	MYC
AKT2	CTNNB1
AKT2	IGF1
AKT2	RAF1
