node1	node2
ABL1	MLH1
ABL1	FLT3
ABL1	RARA
ABL1	KRAS
ABL1	MDM2
ABL1	PDGFRB
ABL1	CREBBP
ABL1	PIK3CA
ABL1	CBL
ABL1	DNMT3A
ABL1	NBN
ABL1	RB1
ABL1	TP53
ABL1	ATM
ABL1	KIT
ABL1	TAL1
ABL1	NPM1
ABL1	RUNX1
ABL1	BCR
ABL1	MLLT10
ABL1	TERT
ABL1	CALR
ABL1	IKZF1
ABL1	IKZF3
ABL1	GATA2
ABL1	NF1
ABL1	NUP214
ABL1	NRAS
ABL1	THPO
ABL1	GATA1
ABL1	SRSF2
ABL1	MPL
ABL1	BRCA2
ABL1	NUMA1
ABL1	CEBPA
ABL1	PTPN11
ABL1	TET2
ABL1	SETBP1
ABL1	ASXL1
ABL1	CBFB
ABL1	PIK3R1
ABL1	ETV6
ADA2	RNASEH2C
ADA2	SAMHD1
ADAR	RNASEH2A
ADAR	NSUN2
ADAR	TP53
ADAR	RNASEH2C
ADAR	DDX41
ADAR	RNASEH2B
ADAR	TREX1
ADAR	IFIH1
ADAR	SAMHD1
ADH5	FANCD2
ALAD	GATA1
ANAPC1	RB1
ANAPC1	BUB1B
ANAPC1	BUB1
ANAPC1	TERT
ANAPC1	RECQL4
ANAPC1	BRCA2
ANAPC1	BUB3
APC	MLH1
APC	KRAS
APC	PIK3CA
APC	BUB1B
APC	BUB3
APC	TP53
APC	BUB1
APC	APC2
APOE	CEBPA
APOE	CALR
APOE	PDGFRB
APOE	MYD88
APOE	TYROBP
APOE	GBA
APOE	TP53
APOE	PICALM
APOE	TREM2
ARHGAP26	KRAS
ARHGAP26	NF1
ARHGAP26	PTPN11
ARHGAP26	NRAS
ASXL1	FLT3
ASXL1	RARA
ASXL1	KRAS
ASXL1	PDGFRA
ASXL1	CREBBP
ASXL1	DNMT3A
ASXL1	TP53
ASXL1	ATM
ASXL1	KIT
ASXL1	NPM1
ASXL1	RUNX1
ASXL1	CALR
ASXL1	HAX1
ASXL1	DDX41
ASXL1	IKZF1
ASXL1	SF3B1
ASXL1	SH2B3
ASXL1	GATA2
ASXL1	NF1
ASXL1	NUP214
ASXL1	NRAS
ASXL1	MPL
ASXL1	ATRX
ASXL1	NSD1
ASXL1	BRCA2
ASXL1	GATA1
ASXL1	GNB1
ASXL1	SETD2
ASXL1	THPO
ASXL1	PIGA
ASXL1	PTPN11
ASXL1	CEBPA
ASXL1	ETV6
ASXL1	SETBP1
ASXL1	JAK2
ASXL1	SRSF2
ASXL1	TET2
ATM	GLI1
ATM	FANCE
ATM	MLH1
ATM	MSH2
ATM	MSH6
ATM	FLT3
ATM	KRAS
ATM	PDGFRA
ATM	MDM2
ATM	CREBBP
ATM	PIK3CA
ATM	CBL
ATM	DNMT3A
ATM	NBN
ATM	PMS2
ATM	RB1
ATM	TP53
ATM	BAX
ATM	GATA2
ATM	RPL5
ATM	SAMHD1
ATM	GBA
ATM	MYD88
ATM	BUB3
ATM	RPL11
ATM	PTPN11
ATM	RUNX1
ATM	BUB1
ATM	TET2
ATM	POT1
ATM	IFIH1
ATM	BUB1B
ATM	JAK2
ATM	KIT
ATM	PIK3R1
ATM	NRAS
ATM	SETD2
ATM	NPM1
ATM	NF1
ATM	FANCA
ATM	FANCC
ATM	FANCG
ATM	TERT
ATM	RECQL4
ATM	ATRX
ATM	LIG4
ATM	FANCD2
ATM	BLM
ATM	BRCA2
ATRX	MLH1
ATRX	MSH2
ATRX	MSH6
ATRX	KRAS
ATRX	PDGFRA
ATRX	MDM2
ATRX	CREBBP
ATRX	PIK3CA
ATRX	DNMT3A
ATRX	NBN
ATRX	PMS2
ATRX	TP53
ATRX	BUB1B
ATRX	FANCD2
ATRX	FANCC
ATRX	TERT
ATRX	SF3B1
ATRX	BLM
ATRX	POT1
ATRX	NF1
ATRX	NRAS
ATRX	PTPN11
ATRX	PIGA
ATRX	PIK3R1
ATRX	SETBP1
ATRX	GATA1
ATRX	TET2
ATRX	RECQL4
ATRX	FANCG
ATRX	FANCA
ATRX	NSD1
ATRX	SETD2
ATRX	LIG4
ATRX	BRCA2
BAX	MDM2
BAX	TP53
BAX	CBFB
BCR	FLT3
BCR	RARA
BCR	PIK3CA
BCR	CBL
BCR	TP53
BCR	SH3GL1
BCR	KIT
BCR	RUNX1
BCR	MLLT10
BCR	PIK3R1
BLM	RNASEH2A
BLM	FANCE
BLM	MLH1
BLM	MSH2
BLM	MSH6
BLM	KIF11
BLM	NBN
BLM	PMS2
BLM	TP53
BLM	BUB1B
BLM	FANCD2
BLM	FANCC
BLM	BUB1
BLM	TERT
BLM	RNASEH2B
BLM	IFIH1
BLM	RECQL4
BLM	LIG4
BLM	POT1
BLM	BRCA2
BLM	FANCA
BLM	FANCG
